Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number
0.15265054914267803,-17.01308129068604,0.0,[ 63.          87.02473004 122.37818596 127.57941468 162.60779489]
0.043710813261717336,-19.291261737762724,0.032940647055232995,[59.         59.71497834 94.64860977 69.65032672 82.28618455]
-0.10560927243616605,-10.953792616512875,0.06027640505157182,[49.         30.48636052 19.59832006  6.76034789  4.21525559]
0.0945218183411175,-16.176723335961785,0.08542677068495913,[67.         78.71377356 92.51779721 99.99587437 89.54531421]
-0.06606042055210679,-12.895826171600675,0.1081184758010825,[38.         27.10715973 26.68353609 20.66943926  6.64534493]
-0.1484892396302349,-10.780846118995198,,[43.         22.89656308 18.3454873   4.82147745  2.70568676]
-0.18428192525455658,-24.33641727460934,,[61.         28.33879947 15.09123978  7.15119849  0.39343776]
0.11451340361634615,-16.30653285327815,,[47.         58.43740899 72.21118503 60.79462052 71.60221073]
0.1312062575597857,-16.61539647671374,,[35.         45.58960961 83.34327308 74.304767   92.66197231]
0.1590966862459882,-17.28310262476251,,[ 40.          56.22534337 112.07700333 132.3682303  166.65739363]
0.009070462872557493,-14.408549737458976,,[45.         40.96230851 41.2182082  40.38743654 26.21049677]
0.006039359281600265,-14.163322728718853,,[32.         28.85446589 31.95397777 33.47535693 24.43641345]
0.04384009589112114,-16.37830540745589,,[46.         46.57554926 42.85761268 41.25636546 25.7244343 ]
0.080320757780305,-15.361958160772026,,[43.         48.49205687 66.60591014 58.20433131 53.48285741]
0.10836357931544088,-16.845391124667202,,[47.         57.43380871 95.02901271 80.77387497 94.17498867]
-0.0058331531269071035,-16.16178122962649,,[67.         58.19933043 35.05794124 38.54051945 28.69011027]
0.07643116171023123,-15.892103917853648,,[51.         56.86716543 51.58799269 45.43413008 49.10426034]
-0.305015957834409,-8.754857839234685,,[63.         17.53752666  5.75448492  1.76442878  0.23575028]
-0.05631862401772018,-15.047653601791483,,[54.         39.80312706 34.82763923 22.6924114  23.09668132]
0.02421645475789485,-15.026930032933876,,[48.         45.78809231 47.8895609  44.91516032 27.46721673]
-0.057809407641257714,-13.861354676094518,,[52.         38.13820692 29.6005752  16.60256671 16.77046544]
0.037479852183974045,-15.747641077313787,,[49.         48.67002635 50.84265385 60.25853962 37.01200419]
0.048969034063362366,-16.21374082232726,,[56.         57.5798693  54.65573942 40.03403842 54.85896656]
0.01703742333434358,-14.979860086108856,,[62.         57.84980819 59.70118577 54.91637839 38.719589  ]
0.047582372231358194,-15.827841883263034,,[44.         45.05386156 49.38951829 34.30515343 15.60904288]
0.026782578404988835,-14.668068207691732,,[52.         49.99533012 47.32116932 38.30514155 32.56945662]
0.12639255024977417,-16.77848691946293,,[ 48.          61.69425429 103.74727555 114.05330005 131.70834028]
-0.01250547512006591,-16.770442435722863,,[63.         53.57704893 30.97414519 22.33132722  8.64258999]
0.10914077384385037,-17.33622802621588,,[ 43.          52.66127756  89.21009904 120.87256311 105.79071001]
0.10618420415486136,-16.89662242157984,,[42.         51.00849033 40.64727759 68.18096874 75.08280082]
-0.06320875485535737,-15.061306200509312,,[64.         46.09564741 37.57640094 19.56498404  4.87971387]
0.007590982008971882,-13.562459871336397,,[40.         36.24332157 35.67692036 30.35624319 14.57961403]
0.20142042692449622,-18.08980185342421,,[ 46.          72.32179874 150.12135932 186.49233271 215.70033858]
0.12394255438334587,-16.46573140562152,,[46.         58.72219538 81.68027198 78.60165003 75.67752442]
-0.036171223335194146,-15.776005799230475,,[58.         45.69650921 30.24677009 34.24321773 16.0136635 ]
0.08392005471605868,-15.865677045336323,,[45.         51.27934473 77.39954549 74.29177723 74.30963073]
-0.07418192038551444,-14.039220594248944,,[39.         27.06373928 17.76052947 18.22214467 15.27991601]
0.04701171323267957,-17.24294494071076,,[39.         39.86585692 59.36737888 29.61861682 37.22454321]
-0.14890175361326366,-15.17162845894362,,[61.         32.43126846 11.51373283  1.92562799  3.15178486]
-0.17168137424220575,-12.909556245232277,,[53.         25.85203671 18.24575578 12.36673982  6.19633056]
-0.11799218862654257,-12.495433683567628,,[36.         21.43116694 11.72013679  4.85136696  1.51247776]
0.010651851139365807,-16.55953673521415,,[52.         47.56787945 39.62073161 28.99057239  9.29642818]
0.11987514745745648,-16.896540506334077,,[45.         56.79754812 65.84947405 70.85770177 60.92792039]
0.11849349900089795,-16.86135304701453,,[ 45.          56.5785182   85.39796318 119.53818364 104.34930378]
0.07539872777567778,-16.982380821134367,,[58.         64.47818467 98.48876331 80.52914599 86.61578793]
0.2499566294657718,-17.451601634297695,,[ 44.          78.27000257 148.84044639 244.82995784 335.9479223 ]
0.16820400604886795,-17.372765548864184,,[ 35.          50.41512978 102.09035361 130.42809267 125.64768597]
0.06097994002981766,-15.2055452162509,,[54.         57.54301262 68.1822861  64.64753001 57.75681477]
-0.13458549182697108,-10.740266717471934,,[42.         23.54287196 19.86424292  9.64366353  3.79773417]
0.14527230356824136,-16.169913591835257,,[34.         46.03224081 46.64559212 45.35897393 64.20896232]
-0.04431163376624723,-14.30129576867498,,[51.         39.12126085 22.65287292 20.83733722 15.59115661]
0.011641657848860017,-19.089959437808766,,[53.         48.63210467 24.38767092 10.80112137 16.31890128]
0.08755829266495901,-16.696332443439914,,[58.         66.79113145 66.88091178 94.88782623 89.72284978]
0.011696117839522319,-14.527687543799193,,[39.         35.79194601 37.94279869 40.71881053 28.75721693]
-0.059634259124399173,-13.821529788478848,,[61.         44.4661832  30.85516265 25.08198552 14.81616086]
0.11290763508643634,-16.180940485148774,,[49.         60.64974199 64.57555    62.76235094 84.9067703 ]
-0.0026412917315321582,-15.677244598721108,,[60.         52.64715977 33.68586236 30.19156261 35.66887062]
0.058747411662124355,-15.837154875658603,,[52.         55.04679684 79.19571202 69.97289901 56.47986933]
-0.11010971607139394,-13.248265784049245,,[59.         36.12670318 24.71266276  4.43552064  3.62993446]
-0.04379891549380196,-14.020025565994983,,[51.         39.18747692 27.2294578  26.43863451 15.61754597]
-0.12420506287423261,-10.406395493251502,,[40.         23.28519069 12.60671268  8.96080501  3.9439756 ]
0.0027442198462132375,-15.574805307427496,,[42.         37.48269737 50.07440162 45.25305166 21.91815374]
0.04623085773600944,-14.822194254491102,,[50.         50.99050896 53.20526109 44.32399306 42.31943369]
-0.17306309897290226,-12.367884862845067,,[43.         20.86329743 14.32831481 11.86196276  4.10902628]
0.16287950419401082,-15.737541127555398,,[ 35.          49.70065478  75.48265932 100.29215586 115.44887996]
0.110572752066844,-19.52797177686483,,[ 65.          79.92648077  64.1523501  116.90818865 114.54982879]
0.02031553179405606,-15.546812211406376,,[27.         25.44877296 46.39086324 33.28480281 19.95572528]
-0.03572720317735995,-12.891668913660515,,[49.         38.66175313 24.07723013 17.86091774 11.35948937]
-0.06363637161829896,-13.85257104147559,,[57.         40.99481403 36.10635165 18.23435453 14.00897389]
-0.9535847150993422,-16.487521781003103,,"[4.70000000e+01 5.87500000e+00 7.34375000e-01 9.17968750e-02
 1.14746094e-02]"
-0.0046032881854268515,-15.44031720485526,,[57.         49.70586689 53.22110078 52.90368183 31.01748009]
0.07079104077174575,-15.768037741701386,,[49.         53.74444753 68.02012706 55.61652475 65.02194969]
0.10869760171792583,-16.135191510656362,,[51.         62.38061852 72.24205932 73.09736708 69.40307742]
-0.0835464763488134,-13.553973197847794,,[61.         40.99251158 25.79875015 18.86317027 14.22784504]
-0.003624086426300216,-14.857732607590968,,[52.         45.48621722 54.24708341 34.85037472 25.18719586]
-0.06431710705562865,-13.619299064659065,,[52.         37.31302262 33.90452714 23.39041282 13.36916223]
0.12287305570451573,-17.332131210044025,,[63.         80.18463999 95.21899493 99.11226102 92.69867154]
0.19650128935479996,-17.25476661389969,,[ 38.          58.98399538 122.23622912 158.82078272 184.0361125 ]
-0.013466732749615878,-14.957893455257102,,[54.         45.78260493 36.72136215 39.15211377 21.54033331]
-0.30415433638633194,-8.789680711739877,,[44.         12.29731219  7.15303313  2.78373895  0.23669111]
-0.05954650144686773,-14.268285235393535,,[58.         42.29177443 40.9130763  21.12789307 16.67309032]
0.00016228830841362452,-14.564651579805934,,[53.         46.91752424 34.85608254 28.85625828 28.48834624]
0.03714345518769972,-16.0470437348142,,[57.         56.55852101 52.74439498 64.68952814 42.01628186]
-0.02173208907746118,-14.589474576617954,,[59.         48.71395305 52.01644914 38.12851016 23.77413385]
-0.14744347849255848,-10.423857637776148,,[49.         26.19323714 16.31226076  7.26043517  2.71624394]
0.08227726014462214,-14.77679881533718,,[36.         40.82891335 37.95802472 41.07746273 45.14270756]
-0.04241955499792898,-14.906484980539824,,[52.         40.13787022 27.35349647 16.77414994 22.87933778]
-0.04036439007218761,-15.119491751472063,,[54.         41.96431422 34.42375569 18.29523603  5.26502918]
-0.11039971194230097,-11.954775078287039,,[51.         31.19596848 21.07442372  7.20028932  3.10816433]
-0.0466438448179308,-13.975931410118921,,[57.         43.38818076 31.47061588 24.81289194 20.6286586 ]
0.15939494426790496,-19.567260225558012,,[ 42.          59.08409815 117.70627413  90.43946144 133.43315903]
-0.014457624458706908,-12.348396180228308,,[32.         27.04473588 23.29432681 13.77474505  7.87317448]
-0.014107410098178286,-22.731823194474444,,[44.         37.22812955 34.14772406 13.02404115  4.299265  ]
-0.12884344643821694,-12.88700302564001,,[50.         28.62087212 21.41193035  5.7014306   1.93908691]
0.055715619590057115,-15.488197986727288,,[44.         46.16082679 64.02829813 65.5463166  50.64308843]
-0.1954315593601813,-11.651780341604967,,[63.         28.01373938 14.88225762 10.06581262  3.38920211]
-0.025184446570405437,-14.018567506045091,,[42.         34.29373001 34.56155357 19.96215836 19.36189632]
-0.0157335237347508,-14.899938220242122,,[49.         41.24369284 39.7705931  30.48595143 30.65168433]
-0.09801076247180293,-13.304842301048225,,[48.         30.67422325 20.75896244 14.46607271 11.90637186]
-0.027977667852829673,-13.769791459071051,,[49.         39.64931603 39.02968682 28.57475564 10.9643787 ]
-0.06167915911177125,-15.114118306535195,,[52.         37.64606772 17.81622344 21.63258972 14.71471795]
0.011563471315580186,-15.093045632578644,,[53.         48.62028754 53.27862787 35.7181048  36.51438044]
0.16069230684483632,-18.322219702741375,,[ 67.          94.58319179 104.22209356 138.05152759 144.66016565]
-0.04829605127479331,-13.883258501194632,,[45.         34.06696352 36.51542488 24.67753126 14.10483524]
-0.02378620687184472,-12.909419740249295,,[33.         27.06700086 20.18485212 19.309803    7.64087873]
-0.041016942702119814,-13.460766152977918,,[38.         29.46718457 22.13667613 22.46897822 14.44781435]
0.057667226649910544,-15.913323009801262,,[49.         51.705154   49.85840257 66.88274579 50.04379171]
0.030056997564725782,-15.044471495104627,,[63.         61.18021732 56.40035585 48.36280188 41.12111624]
0.07114570514502702,-14.815998152800338,,[41.         45.01656905 47.55548097 43.74410246 48.35220722]
-0.04131434474509777,-15.94967597329762,,[66.         51.12982529 29.74091644 25.95436426 15.74584746]
0.07976334818397904,-15.583552206089749,,[52.         58.54676199 66.49824046 70.34397829 58.16393722]
0.11004548867775574,-17.638591128862085,,[ 36.          44.20120703  68.89153326 104.50517099  74.86667571]
-0.025128105870851007,-14.643158164307325,,[53.         43.2833003  40.19516993 36.23421663 26.28164348]
0.015163264820743087,-16.721433771539278,,[50.         46.38334766 35.61361499 26.03946624 18.85505277]
-0.15958552824888944,-14.254226757423258,,[43.         21.96283072 21.11681988 13.87456614  7.3534849 ]
0.17890163993606462,-22.053933836214252,,[ 42.          62.24548584 122.54545913 257.65471697 256.04315087]
-0.0641407446913228,-13.150793987040183,,[40.         28.71940548 33.92470329 17.55324912 10.94491477]
