90,109,173,141
77,103,173,167
60,39,20,7
79,66,128,78
78,55,36,16
84,77,32,15
60,42,23,15
75,89,101,52
72,83,96,64
76,96,190,105
75,74,89,48
68,74,62,38
60,90,78,48
51,82,93,68
57,77,70,88
95,79,70,33
73,87,100,62
84,49,15,5
86,68,72,30
70,65,60,35
68,69,46,30
72,74,89,41
77,109,82,68
88,79,75,30
65,78,81,46
64,72,68,31
75,86,99,95
69,61,47,20
79,94,119,69
64,57,65,40
91,68,40,32
77,64,64,26
87,103,210,181
70,78,78,60
78,67,65,40
64,80,113,78
58,53,36,32
83,86,103,35
71,55,13,3
78,56,39,13
94,40,24,5
70,104,61,27
61,75,100,73
57,89,115,59
77,108,148,98
80,95,234,192
95,93,157,114
66,88,99,70
88,56,29,9
64,68,98,75
65,61,30,24
83,42,37,20
84,107,109,89
61,62,66,36
73,50,46,35
58,103,112,69
94,80,62,39
76,63,85,57
88,56,40,18
94,81,30,28
75,75,26,13
75,100,68,29
63,69,77,58
66,57,37,11
73,59,111,95
77,80,132,115
75,51,48,22
88,80,59,27
78,79,49,28
78,43,12,7
77,65,99,54
75,79,86,55
74,75,122,92
68,66,60,28
69,62,67,45
66,66,54,40
72,87,119,84
91,75,149,108
68,72,53,50
77,53,14,8
107,84,45,22
69,57,67,38
78,83,66,47
89,85,95,37
80,77,44,12
60,66,56,53
70,57,53,28
99,59,46,12
75,59,27,14
73,71,36,19
78,89,133,104
71,44,41,19
72,58,36,11
63,66,34,17
79,90,102,75
86,61,29,17
87,78,56,27
86,81,73,36
79,73,57,29
74,68,58,39
73,94,68,29
60,86,57,35
94,92,142,125
73,71,62,44
79,23,31,17
59,54,28,17
63,100,90,69
65,88,72,50
82,89,104,55
69,92,45,35
76,75,106,63
94,84,125,62
91,86,60,39
52,53,48,43
72,64,45,26
87,120,139,143
70,56,32,19
72,84,46,26
64,58,59,26
77,72,26,12
70,67,73,36
71,96,93,81
82,92,120,98
67,102,100,63
91,136,216,193
66,75,69,44
75,83,79,53
71,52,36,13
78,91,140,112
75,82,141,87
70,63,12,6
53,66,108,64
47,42,23,8
57,80,74,49
52,95,187,169
74,67,103,52
74,44,15,8
78,87,46,26
85,81,34,29
87,103,202,143
88,107,130,110
89,95,75,60
77,122,108,84
64,52,46,22
67,84,152,77
68,64,89,33
44,59,58,26
95,67,45,22
74,66,47,17
76,68,59,25
77,62,26,11
89,95,59,31
75,70,131,98
70,67,32,9
75,47,42,18
70,77,44,21
71,50,35,13
57,51,26,17
55,64,59,36
80,105,159,134
63,85,82,55
61,107,128,87
84,60,27,6
64,72,98,55
78,75,44,25
78,87,102,55
