63,90,102,139,171
59,95,76,96,54
49,32,12,8,5
67,80,94,90,101
38,38,32,11,7
43,35,10,6,2
61,33,17,1,6
47,59,54,68,90
35,65,63,84,92
40,81,104,140,147
45,46,49,34,28
32,36,41,32,19
46,43,45,30,51
43,60,57,56,61
47,79,73,91,92
67,41,49,39,43
51,47,45,52,68
63,21,7,1,1
54,48,34,37,13
48,51,52,34,38
52,41,25,27,18
49,52,67,44,43
56,54,43,63,57
62,65,65,49,39
44,49,37,18,22
52,50,44,40,42
48,82,98,121,115
63,37,29,12,16
43,74,109,102,91
42,34,62,73,76
64,53,30,8,9
40,40,37,19,17
46,97,131,162,237
46,65,68,70,99
58,39,48,24,28
45,69,72,77,66
39,26,29,26,9
39,59,32,43,47
61,22,4,7,3
53,38,28,15,3
36,20,9,3,5
52,44,35,12,16
45,53,62,57,92
45,69,105,98,100
58,90,80,92,76
44,85,152,223,344
35,72,100,103,140
54,65,67,64,58
42,36,19,8,4
34,35,37,56,84
51,30,30,24,25
53,27,13,21,9
58,59,91,92,83
39,42,49,37,24
61,43,38,24,19
49,53,56,81,90
60,39,38,48,38
52,76,73,63,56
59,41,8,7,5
51,36,38,24,20
40,22,17,8,5
42,57,56,29,24
50,53,48,49,48
43,30,27,10,2
35,54,78,96,117
65,53,105,110,119
27,50,39,25,24
49,31,25,17,14
57,51,28,23,17
47,22,4,0,2
57,62,67,42,25
49,63,56,70,61
51,60,66,67,91
61,39,31,25,14
52,63,44,34,28
52,48,36,22,11
63,76,86,86,126
38,80,113,140,194
54,44,51,30,28
44,26,11,1,0
58,57,32,27,15
53,40,36,38,34
57,54,72,50,49
59,64,51,34,22
49,31,15,6,4
36,34,40,47,52
52,36,24,35,24
54,45,26,8,10
51,35,13,6,6
57,42,36,32,19
42,85,71,112,145
32,28,18,11,12
44,41,17,6,15
50,38,11,4,5
44,62,69,57,46
63,34,25,9,2
42,43,27,28,20
49,48,40,43,21
48,33,25,22,8
49,49,39,16,13
52,25,33,24,23
53,59,43,47,34
67,75,108,121,183
45,49,36,22,12
33,25,26,11,10
38,29,32,22,15
49,48,70,56,53
63,59,55,50,50
41,44,44,52,52
66,39,37,24,36
52,60,69,61,70
36,57,94,72,80
53,50,49,38,18
50,39,31,24,48
43,42,30,17,3
42,84,192,204,229
40,48,27,18,10
57,54,42,38,20
41,29,26,33,27
44,32,17,6,10
59,44,31,61,34
34,40,84,63,79
54,55,83,67,91
64,31,51,62,49
39,96,156,224,303
54,53,34,42,40
49,55,49,47,31
41,34,31,24,9
44,87,105,132,158
43,56,38,93,66
56,22,14,5,7
51,48,57,57,49
41,17,20,12,8
50,38,66,45,51
46,71,128,167,250
39,38,43,34,28
47,34,20,7,6
49,47,25,38,12
55,42,42,18,25
60,98,114,120,147
62,73,110,95,110
67,69,89,62,73
49,66,82,96,87
55,44,30,15,3
64,63,94,120,124
38,44,33,13,21
40,55,47,25,26
65,30,26,28,11
42,32,34,17,9
59,30,30,24,10
54,27,17,18,2
52,64,53,40,27
43,54,91,97,90
41,34,26,25,5
40,47,23,18,17
61,52,32,25,12
57,29,10,12,5
58,35,23,17,15
47,51,40,47,30
45,83,114,172,186
44,48,45,47,48
64,68,124,117,147
68,33,11,10,2
45,51,50,63,45
56,52,56,32,15
44,77,67,78,86
65,65,95,89,61
65,75,76,62,69
58,53,33,33,27
57,36,23,5,4
57,53,45,50,17
54,29,17,12,10
55,68,46,25,23
46,54,47,56,55
50,61,49,49,49
63,49,28,10,7
52,66,58,36,24
57,114,171,310,465
51,37,36,25,15
50,18,17,11,4
36,45,39,40,30
56,62,52,28,16
63,39,45,14,17
55,59,39,48,27
37,31,23,15,7
36,64,117,144,134
41,58,61,44,29
36,50,67,77,65
52,69,81,88,72
45,64,80,61,71
61,47,43,38,35
40,65,92,126,171
46,70,83,65,55
38,33,21,22,5
60,42,20,21,22
51,40,52,36,25
40,25,30,23,18
50,36,37,39,38
59,36,33,35,27
46,29,20,8,8
50,73,71,55,59
50,47,48,47,23
51,32,16,8,5
52,57,76,75,71
47,12,14,6,1
59,48,49,50,61
39,36,16,14,13
59,67,73,79,102
44,49,42,22,13
50,51,29,13,10
38,58,44,56,21
56,49,29,16,14
52,94,124,141,123
59,41,34,30,17
58,39,12,10,7
61,34,34,32,20
60,66,65,62,75
56,86,133,171,215
48,52,53,54,32
55,39,19,19,19
58,63,68,43,31
38,18,5,2,0
58,64,69,54,59
35,70,123,140,196
56,99,158,210,288
52,71,55,46,36
51,54,65,82,64
65,89,95,121,133
32,28,15,11,4
60,48,35,27,28
52,88,127,190,254
60,60,22,17,22
44,47,65,64,93
43,49,55,51,36
57,55,64,68,63
58,55,55,52,35
68,37,34,17,20
61,34,51,59,44
62,75,89,115,110
58,49,58,40,30
61,50,50,52,35
60,67,40,37,23
30,40,26,35,31
65,12,3,2,0
64,49,61,87,93
56,52,42,47,50
54,54,85,81,71
58,53,40,20,17
52,64,104,91,100
57,26,25,12,13
53,25,31,16,9
56,77,88,147,188
52,54,50,55,74
55,28,12,4,0
53,107,152,220,287
57,82,119,185,250
45,45,42,38,36
38,55,46,29,28
62,65,64,37,36
47,39,18,12,5
61,79,100,77,73
36,37,30,11,5
55,97,166,293,386
46,82,66,78,86
58,43,41,26,11
47,57,26,25,16
48,31,16,19,15
40,60,61,33,25
47,40,23,46,30
54,61,47,36,39
48,38,13,10,3
50,43,64,61,74
51,95,172,267,391
47,33,19,18,12
78,35,24,15,3
49,35,40,47,17
46,56,57,65,59
55,95,141,192,181
47,37,53,33,36
55,37,16,16,1
50,41,34,18,18
52,41,26,13,9
55,50,27,23,39
44,49,45,51,29
37,55,57,48,48
46,38,38,38,19
47,26,15,2,3
56,59,88,123,151
59,44,35,41,21
42,68,98,107,112
50,45,84,103,95
34,77,94,101,123
56,68,88,56,72
52,51,41,57,45
52,41,36,26,7
44,28,22,21,15
48,34,30,19,8
52,69,51,36,33
65,62,43,65,58
49,42,47,29,29
38,59,69,116,105
50,64,70,44,31
34,69,67,38,15
48,44,22,21,15
48,22,19,10,8
43,42,23,23,17
54,30,48,28,27
42,62,46,42,31
74,62,46,33,36
40,60,36,13,14
55,51,34,26,28
50,54,65,85,81
43,28,7,1,0
55,18,9,5,8
63,33,10,11,4
43,32,15,5,4
57,55,54,56,38
58,68,82,87,102
30,55,51,51,62
44,33,22,21,4
58,47,56,45,57
65,114,169,262,346
58,45,35,19,19
46,59,32,49,33
48,58,60,47,37
48,41,24,25,20
33,66,88,81,42
41,69,61,75,86
40,28,22,16,3
40,29,18,9,6
47,57,67,36,20
57,50,49,32,33
41,39,35,47,69
39,51,52,51,42
46,40,51,31,25
62,92,152,195,256
67,62,54,57,42
55,54,93,101,86
43,102,180,267,428
47,25,18,30,31
41,29,20,14,8
39,47,35,20,14
42,50,38,32,18
51,95,64,50,28
52,84,70,85,85
46,33,34,47,18
58,27,27,15,2
36,32,43,34,27
39,42,41,28,21
51,45,68,51,62
54,34,11,5,8
42,70,38,40,24
52,61,102,153,119
47,45,49,64,50
44,53,53,85,59
44,29,18,21,13
58,42,21,24,9
41,55,48,31,31
46,48,53,46,44
54,95,77,117,104
42,44,24,8,7
42,87,94,107,159
52,27,29,11,8
41,49,71,78,96
41,40,10,4,1
64,66,85,75,79
43,52,22,23,24
46,75,92,133,137
48,29,9,1,1
67,36,30,14,9
40,35,20,7,8
69,99,100,97,98
56,34,10,8,0
47,111,120,151,221
67,65,126,146,147
53,34,19,10,5
73,52,40,31,19
44,73,83,84,111
58,50,38,24,10
40,21,15,3,0
36,49,31,35,35
32,59,47,40,22
35,23,10,3,0
37,26,27,14,7
44,23,18,19,16
42,54,65,93,164
54,109,160,232,293
52,56,49,52,37
24,36,36,45,35
56,105,128,228,284
38,39,43,32,17
49,56,42,79,71
48,40,30,15,2
66,58,106,122,135
44,44,36,29,15
42,42,25,7,4
48,33,10,6,4
54,47,58,40,42
54,73,65,72,54
52,44,52,38,31
46,38,40,26,7
35,40,20,10,9
52,36,51,33,20
42,76,79,88,66
32,63,90,111,107
55,41,44,41,25
50,49,103,120,182
47,21,15,20,13
51,35,16,2,4
45,41,34,24,14
63,56,35,36,16
