87,129,136,169,149
73,102,118,148,125
73,30,29,25,3
67,86,124,129,66
76,56,41,50,10
66,61,46,30,20
85,47,36,37,8
94,91,82,117,60
62,103,94,111,69
103,86,156,163,145
92,98,81,88,38
80,66,74,69,35
59,60,73,92,71
90,86,83,99,80
64,75,86,98,67
81,61,77,69,27
62,79,83,107,74
78,48,35,15,9
84,67,64,50,36
92,73,71,51,42
75,72,62,58,25
68,79,77,69,66
60,83,76,75,39
105,78,73,65,35
81,66,77,68,49
68,82,68,62,43
64,88,82,103,78
64,43,44,27,25
111,92,102,107,80
51,57,58,58,48
95,85,74,57,36
76,57,55,36,41
70,91,146,218,162
59,79,97,94,78
91,76,60,63,39
66,72,81,107,82
61,48,54,60,19
90,88,91,83,46
70,50,16,12,4
75,79,58,29,14
77,39,34,21,7
84,76,83,49,49
62,70,106,110,92
88,85,79,113,75
89,118,116,131,100
71,110,162,216,180
86,123,126,149,143
72,100,81,110,73
81,44,37,28,10
60,55,89,123,55
53,71,42,52,26
79,59,48,45,15
88,121,95,120,77
79,69,72,74,49
73,72,67,62,25
61,82,89,128,74
82,82,83,53,45
65,70,87,111,46
77,69,37,22,8
66,62,59,50,20
64,69,46,25,10
91,74,62,69,24
65,62,64,71,51
91,83,48,16,11
45,76,103,122,69
63,83,108,115,81
83,64,54,51,25
66,73,60,58,36
80,90,73,52,27
76,47,22,16,5
81,81,101,109,53
71,77,71,56,48
72,80,107,90,63
67,74,63,51,25
66,61,94,87,50
80,67,56,69,36
80,75,105,125,99
78,105,132,148,97
71,95,69,62,29
63,56,51,26,5
81,69,73,58,36
68,62,58,66,38
80,80,83,81,36
81,101,109,80,43
79,46,52,46,20
56,74,71,62,31
64,44,56,66,29
85,51,36,26,17
90,57,37,31,14
70,68,57,45,30
60,108,96,136,115
61,49,63,39,29
101,74,37,27,17
60,49,46,19,17
74,84,98,88,55
75,70,42,33,13
76,73,60,64,43
79,84,83,55,26
95,70,73,37,24
60,76,65,60,34
80,78,68,70,36
78,84,62,49,31
82,93,118,148,117
80,79,71,66,27
74,60,37,33,18
57,44,38,26,19
51,73,83,91,63
93,82,66,62,53
81,74,82,85,46
91,66,66,36,35
83,91,81,78,70
71,74,118,86,55
101,69,61,51,32
62,67,60,65,43
67,59,54,45,24
61,107,102,183,155
52,43,48,41,16
70,90,78,56,41
68,73,73,48,28
76,70,52,45,16
63,79,72,47,46
96,89,94,121,67
88,101,136,119,84
70,92,110,97,50
77,133,165,227,217
83,122,70,76,27
90,69,86,91,50
57,55,36,26,17
85,90,119,144,125
68,94,98,98,73
75,35,29,18,6
68,78,112,78,74
59,43,31,22,19
68,67,98,90,43
72,78,110,177,151
64,64,57,59,38
78,50,32,28,8
84,64,55,49,20
72,88,58,47,31
99,113,134,173,131
97,112,116,142,99
80,89,68,64,49
67,78,99,114,83
65,65,40,39,21
71,99,93,111,92
64,82,66,53,41
64,63,67,63,22
95,67,52,27,18
90,68,65,38,23
62,64,45,50,20
75,67,55,29,13
83,85,69,67,36
71,95,96,116,80
60,59,27,19,6
72,61,38,33,8
88,48,67,55,24
98,48,39,39,16
65,55,37,44,12
66,72,46,53,29
74,89,146,149,146
67,75,66,64,53
95,83,108,132,101
86,59,57,24,18
74,92,97,72,64
60,57,68,47,20
60,110,70,75,49
96,106,98,125,88
95,93,77,130,79
71,64,56,45,35
74,56,36,17,10
63,89,84,52,41
56,34,43,24,19
81,97,88,82,63
55,67,75,99,37
83,76,71,102,69
72,67,49,12,20
83,81,98,92,64
94,120,167,215,173
72,90,67,46,50
94,64,50,22,11
71,51,56,67,34
80,68,82,75,58
85,71,61,71,30
69,74,61,70,49
87,66,53,48,14
74,106,119,120,121
54,71,63,66,56
66,83,79,73,48
84,93,71,125,52
79,87,99,109,78
73,81,71,101,63
57,94,131,177,122
87,81,87,110,54
67,93,48,51,26
62,75,68,42,21
78,76,68,82,53
68,63,64,56,31
82,65,70,75,38
73,65,88,53,24
97,69,37,16,18
61,76,83,84,69
63,92,75,52,32
75,43,33,27,19
65,116,133,97,85
73,48,31,16,8
89,70,66,59,43
53,52,55,51,19
66,82,116,128,75
79,77,49,36,20
72,62,57,25,14
80,83,84,73,44
82,71,64,56,27
74,112,116,161,118
74,62,77,54,25
77,51,36,27,12
93,74,89,62,47
85,84,99,99,81
71,100,141,203,180
61,77,85,91,49
77,81,65,45,30
102,88,95,99,70
73,48,27,13,2
72,63,111,100,55
67,114,144,172,105
91,144,144,222,221
100,100,77,99,57
63,118,85,97,37
66,110,154,180,132
48,49,17,13,3
76,82,55,68,32
62,112,168,243,186
92,83,75,50,32
79,65,70,78,52
66,56,57,54,30
70,83,85,81,52
99,64,91,63,53
60,81,66,68,39
81,70,81,75,47
92,135,94,154,96
66,79,69,75,58
86,85,73,70,37
72,66,84,78,40
95,63,47,39,24
88,44,19,10,1
75,92,88,98,64
107,103,84,90,65
52,120,85,82,67
71,76,65,41,35
77,108,111,149,70
74,57,33,35,20
55,64,63,37,21
109,80,115,150,131
66,88,83,92,95
84,45,38,25,7
110,100,173,187,148
71,110,137,173,152
68,77,63,70,45
78,77,47,42,27
81,68,71,65,46
74,55,78,57,23
77,99,112,102,92
68,68,53,32,19
67,124,160,258,255
92,93,84,108,69
101,81,67,67,34
81,96,76,64,44
52,69,47,40,27
64,79,53,62,46
75,68,79,86,60
90,70,62,37,25
80,53,51,38,11
66,54,70,75,71
74,136,188,248,213
56,67,48,36,11
86,59,40,26,8
88,66,64,57,35
76,87,45,75,54
64,75,123,175,113
95,81,72,78,38
74,65,45,37,25
79,64,58,43,33
73,63,44,35,14
56,60,66,52,22
72,70,64,67,36
53,73,70,64,44
76,76,67,71,34
70,53,24,21,4
82,101,132,155,98
86,81,76,58,49
71,95,107,111,114
114,66,103,140,125
73,85,96,129,106
90,107,113,126,82
72,72,68,51,38
76,74,73,57,33
68,71,52,39,15
51,55,52,41,27
114,69,81,82,32
84,76,95,92,64
66,81,66,72,35
74,72,109,99,73
67,85,84,71,40
67,80,64,67,49
